h3_8,n_años,tipo,n_changepoints,changepoints
884995baa5fffff,9,fluctuante,0,
884995baa7fffff,9,fragmentada,0,
884995baa9fffff,9,fragmentada,0,
884995baabfffff,9,fluctuante,0,
884995baadfffff,9,fluctuante,0,
884995bab1fffff,9,fragmentada,0,
884995bab3fffff,9,fragmentada,0,
884995bab5fffff,9,fluctuante,0,
884995bab7fffff,9,monotónica,0,
884995babbfffff,9,fragmentada,0,
884995bac1fffff,6,fluctuante,0,
884995bac3fffff,5,fluctuante,0,
884995bac5fffff,9,fragmentada,0,
884995bac7fffff,9,monotónica,0,
884995bacbfffff,3,monotónica,0,
884995bae1fffff,9,fragmentada,0,
884995bae3fffff,9,fluctuante,0,
884995bae5fffff,9,fragmentada,0,
884995bae7fffff,9,fragmentada,0,
884995bae9fffff,9,fluctuante,0,
884995baebfffff,9,fragmentada,0,
884995baedfffff,9,fragmentada,0,
884995bb01fffff,9,fluctuante,0,
884995bb03fffff,9,fragmentada,0,
884995bb05fffff,8,fluctuante,0,
884995bb07fffff,9,fragmentada,0,
