h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
88499581b9fffff,2017,1.7664758,1.4459935,1.2695647,-0.41301036,1.0244616,0.69359845,-1.9553741,0.83722204
88499581b9fffff,2018,1.6000568,-3.1415431,-1.7257435,0.89809364,-0.8126779,-0.29459524,-0.39638203,-2.489913
88499581b9fffff,2019,-0.30426174,-0.26116183,0.3702273,0.017418746,-0.77056754,0.46834105,-1.5887988,1.2752886
88499581b9fffff,2020,-1.0117834,-0.78802896,0.15800086,-0.026206508,0.73736554,-1.8568811,0.5826613,-0.5335863
88499581b9fffff,2021,-1.0534736,-0.071779326,-0.21177706,1.767619,-0.8530688,-0.8808363,-1.3886257,0.15968643
88499581b9fffff,2022,1.1783282,0.11006787,-1.7016673,-1.7862563,1.0699856,-1.3216523,-3.2495544,1.6108831
88499581b9fffff,2023,2.2409751,-0.9347907,-1.4961742,-1.1199119,0.96169347,-0.53323853,-2.5409973,-1.0125607
88499581b9fffff,2024,0.18218237,-0.4491705,0.87325126,-0.30196342,1.5057628,-1.8121531,-2.5875413,2.0115254
88499581bbfffff,2016,0.49129608,-0.7453301,0.17073876,1.3121562,-0.9339697,-0.6107196,-1.087075,-0.8483549
88499581bbfffff,2017,-0.71016866,0.3730206,-0.02279211,-0.23021017,-0.09302019,0.8156452,0.20235285,0.48449606
88499581bbfffff,2018,-0.050807144,-1.3863035,-0.9269111,0.44945028,-0.7627393,1.236569,0.2754311,-0.262429
88499581bbfffff,2019,-0.10366872,-0.02907736,0.18997392,0.023304993,0.76950496,0.18574981,0.045604814,-0.2631207
88499581bbfffff,2020,0.96460676,-2.28484,-0.4207782,0.50845045,-0.09837035,-0.432287,0.37252548,-0.61043084
88499581bbfffff,2021,2.1033125,-0.2338092,-0.5425433,-1.3624754,0.3602084,0.45900446,-0.60360926,-0.77057827
88499581bbfffff,2022,1.3679961,-1.4369682,-1.6973748,-1.2665792,0.2270024,-0.43214482,-0.47091082,-1.6217027
88499581bbfffff,2023,1.8164277,-1.9153459,-1.1782851,0.782481,-0.67589134,-0.24369828,-1.1125172,-1.5523756
88499581bbfffff,2024,0.7086495,-0.052475844,-0.6898419,0.051734358,-0.6151288,1.2336503,-1.0318402,-1.1845673
88499581c1fffff,2018,0.29510653,1.3972073,-1.7688109,0.834314,1.7378123,-2.2019794,0.88243794,-2.253952
88499581c1fffff,2019,1.5484498,0.655834,-2.2559478,-0.84136957,2.0080698,1.0926098,-1.9673613,-1.199691
